Zip,HOMEM,LA/RO,FORD,BUICK,CHEVR,DODGE,PORSC,INTER,ME/BE,JEEP,GMC,BMW,POLAR,KAWAS,HA/DA,VOLKS,CHRYS,VOLVO,LINCO,CADIL,NISSA,YAMAH,HONDA,TOYOT,AUDI,SUBAR,CA/ON,TESLA,MAZDA,FREIG,MITSU,LEXUS,HYUND,KIA,RAM,INFIN,ACURA,Median Income Per Person
13690,47,0,114,7,95,39,0,9,2,51,24,0,45,4,6,10,10,0,1,3,24,22,52,52,3,41,26,0,4,8,3,1,9,12,40,0,0,47614.0
12115,4,0,16,1,21,2,3,7,5,11,3,9,1,0,1,8,0,5,0,0,3,7,10,24,6,18,1,0,3,0,0,2,2,2,1,0,0,126125.0
14817,33,0,223,12,271,67,4,7,9,95,56,18,11,11,23,46,15,44,5,10,104,5,201,300,15,236,28,8,32,4,5,8,63,41,64,2,5,88963.0
12465,2,0,15,2,11,4,0,0,0,15,12,6,2,2,8,14,0,4,1,0,10,2,29,36,6,37,2,0,2,0,1,1,3,4,4,0,3,80069.0
12147,7,2,100,6,76,27,4,6,7,19,17,10,10,3,12,13,13,8,4,0,17,6,49,78,5,73,12,3,11,0,1,5,7,16,17,0,3,67250.0
12578,6,8,243,20,233,78,12,6,38,86,63,59,18,12,25,45,12,25,15,11,96,21,325,196,33,220,21,13,45,3,3,15,64,34,64,1,37,97386.0
12449,14,7,393,34,371,119,4,178,36,286,154,43,11,27,57,102,38,17,13,27,211,16,289,292,15,185,19,11,34,4,3,25,143,86,223,3,28,82112.0
11373,1,75,2087,52,964,336,79,28,660,569,204,616,3,42,57,355,157,79,77,166,1715,127,4001,4842,224,573,19,482,505,212,236,830,680,347,75,207,671,67489.0
11575,19,46,966,34,686,305,14,34,452,419,213,430,3,21,24,131,110,37,64,114,1217,36,1851,2074,103,144,12,36,137,23,84,261,360,157,170,190,286,123056.0
11418,3,54,930,29,559,214,28,17,446,440,130,353,4,25,26,186,106,57,58,79,1221,36,1897,2033,129,278,1,96,220,74,90,321,495,200,85,170,280,79101.0
11102,0,51,560,34,457,176,35,5,394,428,100,324,3,17,50,279,62,61,50,75,630,69,1299,1269,168,369,0,82,247,11,68,166,355,179,62,64,213,103409.0
14707,3,0,24,1,34,16,0,3,0,5,13,0,0,1,1,4,3,1,1,1,6,2,5,6,0,2,1,0,0,1,2,0,2,1,5,0,0,37083.0
12208,14,21,959,97,957,204,16,19,173,479,124,264,9,20,47,385,130,128,44,80,807,28,2007,1694,128,1019,19,50,317,6,63,168,521,526,84,84,133,65701.0
10462,1,80,1334,84,795,360,14,9,504,729,186,466,1,33,62,311,126,60,85,150,1370,45,3057,3323,175,383,2,218,289,9,156,406,681,379,88,176,491,63431.0
12878,8,0,120,8,92,23,1,3,3,41,25,6,10,15,17,14,10,2,2,1,22,8,52,74,0,53,13,1,6,1,4,0,20,14,31,1,3,67344.0
11705,26,42,783,40,652,118,46,11,233,543,167,240,16,22,65,205,52,90,66,82,346,48,691,678,104,311,7,48,168,12,20,128,345,163,173,58,107,139769.0
12507,1,0,4,0,8,0,0,0,4,4,3,4,1,1,1,8,0,7,0,0,4,0,9,24,4,24,3,2,2,0,0,0,0,3,0,0,0,107880.0
12983,95,3,791,56,492,122,5,22,26,351,217,37,86,15,56,113,61,51,23,23,218,70,450,733,37,633,83,15,59,12,35,22,163,124,188,11,19,61237.0
12028,15,0,148,12,185,46,2,17,4,52,44,12,7,5,21,17,7,1,4,9,36,9,137,144,5,97,12,1,9,1,14,3,24,23,43,2,2,78333.0
13730,44,1,362,35,439,130,0,17,4,143,114,15,15,14,49,35,40,12,8,17,129,15,159,261,5,137,49,1,21,9,25,13,81,52,82,4,6,66096.0
14605,13,6,501,76,744,183,5,6,64,176,158,64,2,5,9,70,80,20,30,52,400,13,524,697,35,102,3,4,74,17,119,45,179,142,51,42,79,23220.0
12166,28,0,253,19,308,69,0,14,1,63,63,14,10,9,38,20,18,5,5,12,48,16,99,104,3,53,29,0,6,3,17,5,29,31,47,3,2,72297.0
10805,12,99,714,63,806,167,38,9,396,641,218,458,5,19,80,209,61,79,49,94,710,51,1860,1466,181,514,6,63,278,16,60,291,477,203,68,104,450,82601.0
10552,1,85,706,68,511,195,51,7,571,651,131,613,5,17,34,285,82,110,51,106,747,42,1868,1404,261,583,3,83,292,3,75,359,482,263,67,143,458,93288.0
14530,36,1,710,93,974,227,4,28,7,354,184,13,42,20,82,43,84,12,12,24,116,35,180,300,11,141,42,3,30,9,19,10,106,89,174,7,7,59534.0
12176,3,0,31,0,49,5,0,1,1,11,7,2,3,2,10,4,3,4,3,4,9,4,23,30,1,17,3,0,3,1,1,0,6,7,5,1,0,50000.0
10502,3,38,264,20,203,29,39,5,201,204,54,269,0,6,17,83,26,119,16,36,157,7,662,434,153,428,1,126,146,6,9,198,134,87,33,44,150,244792.0
12032,17,0,138,5,186,33,2,9,8,59,33,9,50,7,43,22,16,5,7,11,44,18,63,121,7,55,15,1,7,1,3,9,14,11,34,1,0,55000.0
12456,4,1,58,5,77,40,0,1,1,46,48,1,3,3,18,30,13,3,0,6,59,4,60,46,2,27,6,0,7,1,4,1,21,22,34,1,2,89732.0
11212,0,49,1359,52,1037,338,14,23,495,507,249,418,0,17,10,136,129,35,84,107,1594,20,1642,1716,142,120,0,37,107,106,148,320,473,219,51,316,310,35840.0
12443,25,8,288,38,293,101,12,25,56,257,139,83,18,13,48,140,38,43,15,25,233,32,360,451,47,357,30,6,44,6,5,35,148,97,138,10,38,104620.0
10459,0,22,524,29,333,185,8,5,171,335,71,173,1,12,17,77,79,24,25,44,548,27,1332,1140,61,110,0,24,86,7,88,77,295,169,28,68,223,41270.0
13787,55,0,437,38,571,151,0,26,15,143,164,27,19,22,70,30,63,19,15,22,113,22,179,318,9,139,61,3,27,5,34,7,90,62,104,9,8,70655.0
11433,3,51,647,38,481,240,16,17,451,405,134,371,0,14,13,113,93,40,72,109,1288,27,1623,1830,110,117,0,116,171,20,88,306,393,181,58,265,283,73118.0
13112,28,1,318,20,377,59,2,6,4,102,65,7,49,13,59,20,19,10,12,15,60,25,113,129,11,81,24,1,27,5,16,5,42,48,63,3,8,77857.0
10039,0,25,232,27,142,79,7,0,204,169,42,179,1,4,14,51,42,31,16,47,276,12,487,548,62,62,1,29,56,0,23,76,173,81,4,55,106,51904.0
11358,4,88,1047,88,702,226,111,8,879,729,168,734,1,34,61,468,97,158,64,131,1235,62,2532,3190,322,835,7,257,413,27,63,946,885,299,110,191,535,84020.0
12719,14,10,115,9,90,40,3,4,12,56,26,16,1,9,12,20,4,10,4,5,30,10,63,80,12,83,19,4,21,0,5,7,23,18,40,0,10,73232.0
12777,7,4,64,4,83,36,3,2,14,50,15,19,5,5,12,17,10,5,5,4,19,9,49,93,6,50,12,7,13,1,6,12,27,13,28,2,9,151667.0
10926,5,10,228,12,161,75,7,4,113,118,36,174,5,11,18,56,33,16,12,22,223,9,423,428,41,197,7,21,60,10,18,60,165,104,36,20,72,89135.0
10032,0,39,414,24,273,137,15,3,233,315,69,225,1,13,20,123,48,67,31,57,386,25,1404,1267,71,224,1,51,104,7,38,136,214,132,28,68,205,56752.0
12423,9,2,167,5,151,36,2,10,13,54,35,20,9,6,48,19,14,9,3,11,44,6,92,89,1,93,11,3,9,2,7,9,33,28,26,1,3,66500.0
12989,17,1,120,11,101,27,0,3,1,44,48,5,13,1,29,13,5,6,1,3,28,30,77,119,1,76,26,1,5,7,10,2,27,28,31,0,0,84226.0
11428,1,52,472,27,381,154,23,3,328,326,94,330,2,12,24,127,75,24,40,80,995,22,1464,1809,96,262,1,77,164,7,63,357,334,131,66,138,247,89593.0
14607,9,24,672,83,854,102,31,9,102,384,139,164,5,7,25,293,51,90,25,50,458,32,1001,1027,98,733,4,67,361,6,54,90,277,220,51,34,70,53281.0
10040,0,18,345,22,206,118,15,1,159,205,47,142,0,6,9,112,43,43,22,23,267,16,1208,1126,60,237,0,33,103,2,33,83,169,130,10,48,193,59115.0
