placeDcid,placeName,Date:Count_Person,Value:Count_Person,Source:Count_Person,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household,Date:Median_Income_Person,Value:Median_Income_Person,Source:Median_Income_Person
zip/12916,12916,2022,2375,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,52339,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,31413,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12917,12917,2022,1232,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,68185,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,37292,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12918,12918,2022,2607,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,87045,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,46893,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12919,12919,2022,2716,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,73929,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,36998,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12920,12920,2022,2429,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,67885,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,40797,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12921,12921,2022,2870,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,92634,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,46314,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12922,12922,2022,37,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,84375,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,49375,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12923,12923,2022,506,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,52250,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,31818,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12924,12924,2022,325,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,55918,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2021,52625,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12926,12926,2022,2325,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,59375,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,35500,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12927,12927,2022,295,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,60000,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,24881,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12928,12928,2022,1869,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,71571,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,36285,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12929,12929,2022,3433,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,65125,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,41493,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12930,12930,2022,843,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,64615,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,34643,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12932,12932,2022,1090,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,57813,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,34036,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12933,12933,2022,27,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2020,73077,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,15250,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12934,12934,2022,1197,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,70278,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,39323,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12935,12935,2022,1406,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,61538,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,38663,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12936,12936,2022,671,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,71154,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,36534,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12937,12937,2022,1464,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,50288,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,26892,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12939,12939,2022,141,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2020,60875,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,38750,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12941,12941,2022,1692,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,78125,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,38272,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12942,12942,2022,516,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,113750,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,50398,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12943,12943,2022,300,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,51579,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,31711,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/12944,12944,2022,3887,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,63977,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html,2022,35080,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
